Provincias;Ramas de actividad;periodo;Total
15 Coruña, A;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;6.118.677
15 Coruña, A;Valor añadido bruto total;2020;23.142.090
15 Coruña, A;Impuestos netos sobre los productos;2020;2.219.368
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;25.361.458
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.195.214
16 Cuenca;A. Agricultura, ganadería, silvicultura y pesca;2020;695.451
16 Cuenca;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;433.609
16 Cuenca;C. - De las cuales: Industria manufacturera;2020;254.710
16 Cuenca;F. Construcción;2020;252.164
16 Cuenca;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;898.560
16 Cuenca;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;645.053
16 Cuenca;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;903.256
16 Cuenca;Valor añadido bruto total;2020;3.828.093
16 Cuenca;Impuestos netos sobre los productos;2020;367.121
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.195.214
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.835.162
20 Gipuzkoa;A. Agricultura, ganadería, silvicultura y pesca;2020;96.251
20 Gipuzkoa;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;5.176.787
20 Gipuzkoa;C. - De las cuales: Industria manufacturera;2020;4.897.711
20 Gipuzkoa;F. Construcción;2020;1.160.660
20 Gipuzkoa;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;4.277.263
20 Gipuzkoa;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.586.643
20 Gipuzkoa;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;4.626.774
20 Gipuzkoa;Valor añadido bruto total;2020;19.924.378
20 Gipuzkoa;Impuestos netos sobre los productos;2020;1.910.784
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.835.162
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;19.520.752
17 Girona;A. Agricultura, ganadería, silvicultura y pesca;2020;587.367
17 Girona;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.471.563
17 Girona;C. - De las cuales: Industria manufacturera;2020;2.089.661
17 Girona;F. Construcción;2020;1.333.140
17 Girona;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;4.718.878
17 Girona;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.943.076
17 Girona;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.758.477
17 Girona;Valor añadido bruto total;2020;17.812.501
17 Girona;Impuestos netos sobre los productos;2020;1.708.251
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;19.520.752
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;15.802.260
18 Granada;A. Agricultura, ganadería, silvicultura y pesca;2020;1.058.030
18 Granada;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.399.420
18 Granada;C. - De las cuales: Industria manufacturera;2020;612.214
18 Granada;F. Construcción;2020;947.043
18 Granada;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.979.032
18 Granada;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;3.565.696
18 Granada;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;4.470.191
18 Granada;Valor añadido bruto total;2020;14.419.412
18 Granada;Impuestos netos sobre los productos;2020;1.382.848
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;15.802.260
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;5.047.876
19 Guadalajara;A. Agricultura, ganadería, silvicultura y pesca;2020;208.007
19 Guadalajara;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.219.830
19 Guadalajara;C. - De las cuales: Industria manufacturera;2020;771.768
19 Guadalajara;F. Construcción;2020;267.054
19 Guadalajara;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;747.142
