grupo_edad,origen,sexo,year,total,provincia_id
16-64 años,Extranjeros,Hombres,2020,89334.0,29
16-64 años,Extranjeros,Mujeres,2020,98001.0,29
65 y más,Españoles,Hombres,2020,107671.0,29
65 y más,Españoles,Mujeres,2020,139070.0,29
65 y más,Extranjeros,Hombres,2020,24138.0,29
65 y más,Extranjeros,Mujeres,2020,24109.0,29
0-15 años,Españoles,Hombres,2020,119696.0,30
0-15 años,Españoles,Mujeres,2020,113104.0,30
0-15 años,Extranjeros,Hombres,2020,21183.0,30
0-15 años,Extranjeros,Mujeres,2020,19789.0,30
16-64 años,Españoles,Hombres,2020,419811.0,30
16-64 años,Españoles,Mujeres,2020,413394.0,30
16-64 años,Extranjeros,Hombres,2020,91323.0,30
16-64 años,Extranjeros,Mujeres,2020,74984.0,30
65 y más,Españoles,Hombres,2020,97138.0,30
65 y más,Españoles,Mujeres,2020,125891.0,30
65 y más,Extranjeros,Hombres,2020,7548.0,30
65 y más,Extranjeros,Mujeres,2020,7390.0,30
0-15 años,Españoles,Hombres,2020,49000.0,31
0-15 años,Españoles,Mujeres,2020,46557.0,31
0-15 años,Extranjeros,Hombres,2020,6530.0,31
0-15 años,Extranjeros,Mujeres,2020,6175.0,31
16-64 años,Españoles,Hombres,2020,185754.0,31
16-64 años,Españoles,Mujeres,2020,180976.0,31
16-64 años,Extranjeros,Hombres,2020,28174.0,31
16-64 años,Extranjeros,Mujeres,2020,27384.0,31
65 y más,Españoles,Hombres,2020,56823.0,31
65 y más,Españoles,Mujeres,2020,71421.0,31
65 y más,Extranjeros,Hombres,2020,945.0,31
65 y más,Extranjeros,Mujeres,2020,1458.0,31
0-15 años,Españoles,Hombres,2020,15616.0,32
0-15 años,Españoles,Mujeres,2020,14728.0,32
0-15 años,Extranjeros,Hombres,2020,915.0,32
0-15 años,Extranjeros,Mujeres,2020,926.0,32
16-64 años,Españoles,Hombres,2020,82742.0,32
16-64 años,Españoles,Mujeres,2020,82578.0,32
16-64 años,Extranjeros,Hombres,2020,5899.0,32
16-64 años,Extranjeros,Mujeres,2020,6565.0,32
65 y más,Españoles,Hombres,2020,41292.0,32
65 y más,Españoles,Mujeres,2020,54061.0,32
65 y más,Extranjeros,Hombres,2020,614.0,32
65 y más,Extranjeros,Mujeres,2020,714.0,32
0-15 años,Españoles,Hombres,2020,9190.0,34
0-15 años,Españoles,Mujeres,2020,8691.0,34
0-15 años,Extranjeros,Hombres,2020,668.0,34
0-15 años,Extranjeros,Mujeres,2020,576.0,34
16-64 años,Españoles,Hombres,2020,48424.0,34
16-64 años,Españoles,Mujeres,2020,45775.0,34
16-64 años,Extranjeros,Hombres,2020,2742.0,34
16-64 años,Extranjeros,Mujeres,2020,2947.0,34
65 y más,Españoles,Hombres,2020,18328.0,34
65 y más,Españoles,Mujeres,2020,22747.0,34
65 y más,Extranjeros,Hombres,2020,105.0,34
65 y más,Extranjeros,Mujeres,2020,128.0,34
0-15 años,Españoles,Hombres,2020,73519.0,35
0-15 años,Españoles,Mujeres,2020,69908.0,35
0-15 años,Extranjeros,Hombres,2020,8631.0,35
0-15 años,Extranjeros,Mujeres,2020,8107.0,35
16-64 años,Españoles,Hombres,2020,345855.0,35
16-64 años,Españoles,Mujeres,2020,338171.0,35
16-64 años,Extranjeros,Hombres,2020,56518.0,35
16-64 años,Extranjeros,Mujeres,2020,57378.0,35
65 y más,Españoles,Hombres,2020,70125.0,35
65 y más,Españoles,Mujeres,2020,86766.0,35
65 y más,Extranjeros,Hombres,2020,8046.0,35
65 y más,Extranjeros,Mujeres,2020,8041.0,35
0-15 años,Españoles,Hombres,2020,63861.0,36
0-15 años,Españoles,Mujeres,2020,59559.0,36
0-15 años,Extranjeros,Hombres,2020,2254.0,36
0-15 años,Extranjeros,Mujeres,2020,2249.0,36
16-64 años,Españoles,Hombres,2020,284400.0,36
16-64 años,Españoles,Mujeres,2020,286751.0,36
16-64 años,Extranjeros,Hombres,2020,14646.0,36
16-64 años,Extranjeros,Mujeres,2020,15996.0,36
65 y más,Españoles,Hombres,2020,90078.0,36
65 y más,Españoles,Mujeres,2020,122959.0,36
65 y más,Extranjeros,Hombres,2020,1213.0,36
65 y más,Extranjeros,Mujeres,2020,1442.0,36
0-15 años,Españoles,Hombres,2020,21255.0,26
0-15 años,Españoles,Mujeres,2020,20162.0,26
0-15 años,Extranjeros,Hombres,2020,4014.0,26
0-15 años,Extranjeros,Mujeres,2020,3695.0,26
16-64 años,Españoles,Hombres,2020,87204.0,26
16-64 años,Españoles,Mujeres,2020,85079.0,26
16-64 años,Extranjeros,Hombres,2020,15436.0,26
16-64 años,Extranjeros,Mujeres,2020,15748.0,26
65 y más,Españoles,Hombres,2020,29433.0,26
65 y más,Españoles,Mujeres,2020,36571.0,26
